Excursionistas
Riestra
Deportivo Moron
Atletico Tucuman
Deportivo Sapo
Banfield
La Plata FC
Berazategui
Cañuelas
Racing Córdoba
Defensores de Belgrano
Boca Juniors
Chaco For Ever
Crucero del Norte
Chacarita
Deportivo Coreano
Sacachispas
Flandria
4 de Mayo

